Method,Precision 0,Precision 1,Recall 0,Recall 1,Specificity 0,Specificity 1,F1 Score,MCC,Accuracy
agg,0.9495586380832284,0.9562841530054644,0.9495586380832284,0.9562841530054644,0.9562841530054644,0.9495586380832284,0.9529213955443464,0.9058427910886928,0.9531615925058547
birch,0.9495586380832284,0.9562841530054644,0.9495586380832284,0.9562841530054644,0.9562841530054644,0.9495586380832284,0.9529213955443464,0.9058427910886928,0.9531615925058547
kmeans,0.9093023255813952,0.9870283018867924,0.9861286254728878,0.9147540983606556,0.9147540983606556,0.9861286254728878,0.947838183484608,0.8986037931863909,0.9478922716627636
bagging,0.9674355495251018,0.9545970488081724,0.9468791500664012,0.9722543352601156,0.9722543352601156,0.9468791500664012,0.9601958839764141,0.9205819005882784,0.9604449938195304
